,alpha,deltas,filename,filter,h,l,language,mean,optimization,s,trimmed_mean,variance,experiment,width,height,id
39,,"0    657454
1    632670
2    635964
3    634456
4    633394
dtype: float64",random1 200x200 (1120048829).bmp,blur,,,asm1,638787.6,0,,638787.6,110421478.7999878,random1,200,200,1120048829
40,,"0    635024
1    714694
2    634075
3    634642
4    640000
dtype: float64",random1 200x200 (822890675).bmp,blur,,,asm1,651687.0,0,,651687.0,1246209539.0,random1,200,200,822890675
41,,"0    630399
1    634621
2    634340
3    662998
4    681195
dtype: float64",random1 200x200 (532670688).bmp,blur,,,asm1,648710.6,0,,648710.6,499927927.2999878,random1,200,200,532670688
42,,"0    3178
1    3587
2    3010
3    3550
4    3767
dtype: float64",fixed 8x8 (846930886).bmp,blur,,,asm1,3418.4,0,,3418.4,97962.30000000075,fixed,8,8,846930886
43,,"0     630506
1     637414
2     635634
3     634468
4    1070378
dtype: float64",random2 200x200 (1634660306).bmp,blur,,,asm1,721680.0,0,,721680.0,38003399824.0,random2,200,200,1634660306
44,,"0    2537662
1    2763358
2    2476848
3    2458672
4    2471386
dtype: float64",fixed 392x392 (1749698586).bmp,blur,,,asm1,2541585.2,0,,2541585.2,16297999449.200195,fixed,392,392,1749698586
45,,"0    638284
1    635912
2    661457
3    640756
4    636330
dtype: float64",random1 200x200 (1973594324).bmp,blur,,,asm1,642547.8,0,,642547.8,115410815.2000122,random1,200,200,1973594324
46,,"0    724264
1    636028
2    745184
3    613004
4    644569
dtype: float64",random1 200x200 (1359512183).bmp,blur,,,asm1,672609.8,0,,672609.8,3403134208.199951,random1,200,200,1359512183
47,,"0    632478
1    642518
2    661246
3    647002
4    679559
dtype: float64",random1 200x200 (570073850).bmp,blur,,,asm1,652560.6,0,,652560.6,334853111.7999878,random1,200,200,570073850
48,,"0    426358
1    392700
2    392547
3    392513
4    393838
dtype: float64",fixed 152x152 (2089018456).bmp,blur,,,asm1,399591.2,0,,399591.2,224192799.7000122,fixed,152,152,2089018456
49,,"0    644456
1    643983
2    918796
3    635240
4    632023
dtype: float64",random2 200x200 (594662880).bmp,blur,,,asm1,694899.6,0,,694899.6,15694847392.300049,random2,200,200,594662880
50,,"0    110120
1    138965
2    106842
3    109577
4    111598
dtype: float64",fixed 84x84 (35005211).bmp,blur,,,asm1,115420.4,0,,115420.4,176196860.29999924,fixed,84,84,35005211
51,,"0    634163
1    636040
2    637563
3    673188
4    632264
dtype: float64",random2 200x200 (2099086020).bmp,blur,,,asm1,642643.6,0,,642643.6,295509268.2999878,random2,200,200,2099086020
