,alpha,filename,filter,h,l,language,mean,optimization,s,trimmed_mean,variance,experiment,width,height,id
85,,random1 200x200 (1389867269).bmp,blur,,,asm2,571152.2,0,,571152.2,1846541.70001221,random1,200,200,1389867269
86,,random1 200x200 (1714636915).bmp,blur,,,asm2,588667.2,0,,588667.2,255239885.700012,random1,200,200,1714636915
87,,fixed 272x272 (1632621729).bmp,blur,,,asm2,1043164.2,0,,1043164.2,316964594.699951,fixed,272,272,1632621729
88,,random1 200x200 (1548348142).bmp,blur,,,asm2,571892.2,0,,571892.2,3888166.70001221,random1,200,200,1548348142
89,,random1 200x200 (1573363368).bmp,blur,,,asm2,2491509.4,0,,2491509.4,18436595627584.3,random1,200,200,1573363368
90,,fixed 220x220 (1911759956).bmp,blur,,,asm2,724891.8,0,,724891.8,1476794634.69995,fixed,220,220,1911759956
91,,random1 200x200 (654887343).bmp,blur,,,asm2,568124.8,0,,568124.8,80465062.7000122,random1,200,200,654887343
92,,random2 200x200 (1250718455).bmp,blur,,,asm2,1492650.2,0,,1492650.2,4252064091615.7,random2,200,200,1250718455
93,,random2 200x200 (98768428).bmp,blur,,,asm2,587992.6,0,,587992.6,2720400196.29999,random2,200,200,98768428
94,,random2 200x200 (960449276).bmp,blur,,,asm2,1425255.2,0,,1425255.2,3589013843427.2,random2,200,200,960449276
95,,random2 200x200 (232899880).bmp,blur,,,asm2,570588,0,,570588,5302075.5,random2,200,200,232899880
96,,random1 200x200 (1605894428).bmp,blur,,,asm2,570180.8,0,,570180.8,1736792.70001221,random1,200,200,1605894428
97,,fixed 16x16 (1714636915).bmp,blur,,,asm2,6033.2,0,,6033.2,77160.700000003,fixed,16,16,1714636915
98,,random2 200x200 (602713750).bmp,blur,,,asm2,571263.8,0,,571263.8,16511919.7000122,random2,200,200,602713750
99,,random2 200x200 (1790746779).bmp,blur,,,asm2,1031502,0,,1031502,1019967555330.5,random2,200,200,1790746779
100,,random2 200x200 (1585298692).bmp,blur,,,asm2,1855372.6,0,,1855372.6,8008792221968.3,random2,200,200,1585298692
