,alpha,delta,filename,filter,h,l,language,optimization,s,experiment,width,height
147,,582442,random1 200x200 (1472713773).bmp,blur,,,asm2,3,,random1,200,200
148,,584399,random2 200x200 (159286226).bmp,blur,,,asm2,3,,random2,200,200
149,,572353,random1 200x200 (1967513926).bmp,blur,,,asm2,3,,random1,200,200
150,,1620126,fixed 324x324 (1477171087).bmp,blur,,,asm2,3,,fixed,324,324
151,,1177140,fixed 280x280 (1433925857).bmp,blur,,,asm2,3,,fixed,280,280
152,,588138,random2 200x200 (532333135).bmp,blur,,,asm2,3,,random2,200,200
153,,589515,random2 200x200 (1991128557).bmp,blur,,,asm2,3,,random2,200,200
154,,470032,fixed 176x176 (1914544919).bmp,blur,,,asm2,3,,fixed,176,176
155,,66752,fixed 68x68 (1365180540).bmp,blur,,,asm2,3,,fixed,68,68
156,,7412867,random1 200x200 (1726956429).bmp,blur,,,asm2,3,,random1,200,200
157,,2214962,fixed 380x380 (943947739).bmp,blur,,,asm2,3,,fixed,380,380
158,,582445,random1 200x200 (2086206725).bmp,blur,,,asm2,3,,random1,200,200
159,,13341404,random1 200x200 (1984210012).bmp,blur,,,asm2,3,,random1,200,200
160,,579493,random2 200x200 (1960721183).bmp,blur,,,asm2,3,,random2,200,200
161,,581242,random1 200x200 (1371499336).bmp,blur,,,asm2,3,,random1,200,200
162,,155865,fixed 104x104 (861021530).bmp,blur,,,asm2,3,,fixed,104,104
163,,34626,fixed 48x48 (1350490027).bmp,blur,,,asm2,3,,fixed,48,48
164,,10636516,random1 200x200 (1303455736).bmp,blur,,,asm2,3,,random1,200,200
165,,577158,random2 200x200 (438714404).bmp,blur,,,asm2,3,,random2,200,200
166,,597272,random2 200x200 (1337225634).bmp,blur,,,asm2,3,,random2,200,200
167,,766561,fixed 232x232 (42999170).bmp,blur,,,asm2,3,,fixed,232,232
168,,569237,random1 200x200 (233665123).bmp,blur,,,asm2,3,,random1,200,200
169,,662177,random1 200x200 (502278611).bmp,blur,,,asm2,3,,random1,200,200
170,,1335010,fixed 304x304 (1548233367).bmp,blur,,,asm2,3,,fixed,304,304
171,,631277,fixed 144x144 (1125898167).bmp,blur,,,asm2,3,,fixed,144,144
172,,572228,random2 200x200 (582362178).bmp,blur,,,asm2,3,,random2,200,200
