,alpha,delta,filename,filter,h,l,language,optimization,s,experiment,width,height
6720,0.0,110954,fixed 204x204 (1129566413).bmp,merge,,,asm2,0,,fixed,204,204
6721,0.14674845465465455,110878,fixed 204x204 (1129566413).bmp,merge,,,asm2,0,,fixed,204,204
6722,0.0,557548,fixed 364x364 (2053999932).bmp,merge,,,asm2,0,,fixed,364,364
6723,0.14674845465465455,480674,fixed 364x364 (2053999932).bmp,merge,,,asm2,0,,fixed,364,364
6724,0.0,164070,fixed 248x248 (2084420925).bmp,merge,,,asm2,0,,fixed,248,248
6725,0.14674845465465455,184003,fixed 248x248 (2084420925).bmp,merge,,,asm2,0,,fixed,248,248
6726,0.0,129285,random2 200x200 (959798838).bmp,merge,,,asm2,0,,random2,200,200
6727,0.14674845465465455,107645,random2 200x200 (959798838).bmp,merge,,,asm2,0,,random2,200,200
6728,0.0,106537,random2 200x200 (25750299).bmp,merge,,,asm2,0,,random2,200,200
6729,0.14674845465465455,111009,random2 200x200 (25750299).bmp,merge,,,asm2,0,,random2,200,200
6730,0.0,112410,random2 200x200 (766480852).bmp,merge,,,asm2,0,,random2,200,200
6731,0.14674845465465455,112364,random2 200x200 (766480852).bmp,merge,,,asm2,0,,random2,200,200
6732,0.0,111848,random1 200x200 (1264095060).bmp,merge,,,asm2,0,,random1,200,200
6733,0.14674845465465455,106476,random1 200x200 (1264095060).bmp,merge,,,asm2,0,,random1,200,200
6734,0.0,185988,fixed 264x264 (1159126505).bmp,merge,,,asm2,0,,fixed,264,264
6735,0.14674845465465455,185615,fixed 264x264 (1159126505).bmp,merge,,,asm2,0,,fixed,264,264
6736,0.0,106897,random1 200x200 (155324914).bmp,merge,,,asm2,0,,random1,200,200
6737,0.14674845465465455,107010,random1 200x200 (155324914).bmp,merge,,,asm2,0,,random1,200,200
6738,0.0,113570,random2 200x200 (901471110).bmp,merge,,,asm2,0,,random2,200,200
6739,0.14674845465465455,108756,random2 200x200 (901471110).bmp,merge,,,asm2,0,,random2,200,200
6740,0.0,55302,fixed 148x148 (1059961393).bmp,merge,,,asm2,0,,fixed,148,148
6741,0.14674845465465455,56886,fixed 148x148 (1059961393).bmp,merge,,,asm2,0,,fixed,148,148
6742,0.0,107035,random2 200x200 (954978700).bmp,merge,,,asm2,0,,random2,200,200
6743,0.14674845465465455,106931,random2 200x200 (954978700).bmp,merge,,,asm2,0,,random2,200,200
6744,0.0,34306,fixed 108x108 (278722862).bmp,merge,,,asm2,0,,fixed,108,108
6745,0.14674845465465455,32825,fixed 108x108 (278722862).bmp,merge,,,asm2,0,,fixed,108,108
6746,0.0,255456,random1 200x200 (1350490027).bmp,merge,,,asm2,0,,random1,200,200
6747,0.14674845465465455,107272,random1 200x200 (1350490027).bmp,merge,,,asm2,0,,random1,200,200
6748,0.0,106677,random1 200x200 (84353895).bmp,merge,,,asm2,0,,random1,200,200
6749,0.14674845465465455,106482,random1 200x200 (84353895).bmp,merge,,,asm2,0,,random1,200,200
6750,0.0,106799,random1 200x200 (407487131).bmp,merge,,,asm2,0,,random1,200,200
6751,0.14674845465465455,106937,random1 200x200 (407487131).bmp,merge,,,asm2,0,,random1,200,200
6752,0.0,300788,fixed 284x284 (1141616124).bmp,merge,,,asm2,0,,fixed,284,284
6753,0.14674845465465455,906397,fixed 284x284 (1141616124).bmp,merge,,,asm2,0,,fixed,284,284
6754,0.0,69756,fixed 164x164 (1131176229).bmp,merge,,,asm2,0,,fixed,164,164
6755,0.14674845465465455,71242,fixed 164x164 (1131176229).bmp,merge,,,asm2,0,,fixed,164,164
6756,0.0,369014,fixed 328x328 (356426808).bmp,merge,,,asm2,0,,fixed,328,328
6757,0.14674845465465455,286084,fixed 328x328 (356426808).bmp,merge,,,asm2,0,,fixed,328,328
6758,0.0,5797,fixed 44x44 (1025202362).bmp,merge,,,asm2,0,,fixed,44,44
6759,0.14674845465465455,5794,fixed 44x44 (1025202362).bmp,merge,,,asm2,0,,fixed,44,44
6760,0.0,114074,random2 200x200 (250037052).bmp,merge,,,asm2,0,,random2,200,200
6761,0.14674845465465455,123363,random2 200x200 (250037052).bmp,merge,,,asm2,0,,random2,200,200
6762,0.0,113625,random2 200x200 (1113699290).bmp,merge,,,asm2,0,,random2,200,200
6763,0.14674845465465455,110774,random2 200x200 (1113699290).bmp,merge,,,asm2,0,,random2,200,200
6764,0.0,106784,random1 200x200 (87755422).bmp,merge,,,asm2,0,,random1,200,200
6765,0.14674845465465455,107993,random1 200x200 (87755422).bmp,merge,,,asm2,0,,random1,200,200
6766,0.0,115579,random1 200x200 (1760281936).bmp,merge,,,asm2,0,,random1,200,200
6767,0.14674845465465455,106799,random1 200x200 (1760281936).bmp,merge,,,asm2,0,,random1,200,200
6768,0.0,107193,random1 200x200 (552473416).bmp,merge,,,asm2,0,,random1,200,200
6769,0.14674845465465455,112004,random1 200x200 (552473416).bmp,merge,,,asm2,0,,random1,200,200
6770,0.0,111305,random1 200x200 (1389867269).bmp,merge,,,asm2,0,,random1,200,200
6771,0.14674845465465455,111518,random1 200x200 (1389867269).bmp,merge,,,asm2,0,,random1,200,200
6772,0.0,106479,random1 200x200 (1714636915).bmp,merge,,,asm2,0,,random1,200,200
6773,0.14674845465465455,106888,random1 200x200 (1714636915).bmp,merge,,,asm2,0,,random1,200,200
6774,0.0,198842,fixed 272x272 (1632621729).bmp,merge,,,asm2,0,,fixed,272,272
6775,0.14674845465465455,212320,fixed 272x272 (1632621729).bmp,merge,,,asm2,0,,fixed,272,272
6776,0.0,111293,random1 200x200 (1548348142).bmp,merge,,,asm2,0,,random1,200,200
6777,0.14674845465465455,106485,random1 200x200 (1548348142).bmp,merge,,,asm2,0,,random1,200,200
6778,0.0,120515,random1 200x200 (1573363368).bmp,merge,,,asm2,0,,random1,200,200
6779,0.14674845465465455,108591,random1 200x200 (1573363368).bmp,merge,,,asm2,0,,random1,200,200
6780,0.0,136868,fixed 220x220 (1911759956).bmp,merge,,,asm2,0,,fixed,220,220
6781,0.14674845465465455,137936,fixed 220x220 (1911759956).bmp,merge,,,asm2,0,,fixed,220,220
6782,0.0,138385,random1 200x200 (654887343).bmp,merge,,,asm2,0,,random1,200,200
6783,0.14674845465465455,121696,random1 200x200 (654887343).bmp,merge,,,asm2,0,,random1,200,200
6784,0.0,115985,random2 200x200 (1250718455).bmp,merge,,,asm2,0,,random2,200,200
6785,0.14674845465465455,112569,random2 200x200 (1250718455).bmp,merge,,,asm2,0,,random2,200,200
6786,0.0,108164,random2 200x200 (98768428).bmp,merge,,,asm2,0,,random2,200,200
6787,0.14674845465465455,124517,random2 200x200 (98768428).bmp,merge,,,asm2,0,,random2,200,200
6788,0.0,113698,random2 200x200 (960449276).bmp,merge,,,asm2,0,,random2,200,200
6789,0.14674845465465455,112334,random2 200x200 (960449276).bmp,merge,,,asm2,0,,random2,200,200
6790,0.0,107770,random2 200x200 (232899880).bmp,merge,,,asm2,0,,random2,200,200
6791,0.14674845465465455,111055,random2 200x200 (232899880).bmp,merge,,,asm2,0,,random2,200,200
6792,0.0,138596,random1 200x200 (1605894428).bmp,merge,,,asm2,0,,random1,200,200
6793,0.14674845465465455,106915,random1 200x200 (1605894428).bmp,merge,,,asm2,0,,random1,200,200
6794,0.0,2311,fixed 16x16 (1714636915).bmp,merge,,,asm2,0,,fixed,16,16
6795,0.14674845465465455,2143,fixed 16x16 (1714636915).bmp,merge,,,asm2,0,,fixed,16,16
6796,0.0,109116,random2 200x200 (602713750).bmp,merge,,,asm2,0,,random2,200,200
6797,0.14674845465465455,118311,random2 200x200 (602713750).bmp,merge,,,asm2,0,,random2,200,200
6798,0.0,112172,random2 200x200 (1790746779).bmp,merge,,,asm2,0,,random2,200,200
6799,0.14674845465465455,138739,random2 200x200 (1790746779).bmp,merge,,,asm2,0,,random2,200,200
6800,0.0,643559,random2 200x200 (1585298692).bmp,merge,,,asm2,0,,random2,200,200
6801,0.14674845465465455,106583,random2 200x200 (1585298692).bmp,merge,,,asm2,0,,random2,200,200
6802,0.0,112798,random1 200x200 (1176911340).bmp,merge,,,asm2,0,,random1,200,200
6803,0.14674845465465455,108093,random1 200x200 (1176911340).bmp,merge,,,asm2,0,,random1,200,200
6804,0.0,106516,random2 200x200 (1556677371).bmp,merge,,,asm2,0,,random2,200,200
6805,0.14674845465465455,106857,random2 200x200 (1556677371).bmp,merge,,,asm2,0,,random2,200,200
6806,0.0,106552,random2 200x200 (88885284).bmp,merge,,,asm2,0,,random2,200,200
6807,0.14674845465465455,106808,random2 200x200 (88885284).bmp,merge,,,asm2,0,,random2,200,200
6808,0.0,107068,random2 200x200 (1427056614).bmp,merge,,,asm2,0,,random2,200,200
6809,0.14674845465465455,106393,random2 200x200 (1427056614).bmp,merge,,,asm2,0,,random2,200,200
6810,0.0,77769,fixed 168x168 (1653377373).bmp,merge,,,asm2,0,,fixed,168,168
6811,0.14674845465465455,73101,fixed 168x168 (1653377373).bmp,merge,,,asm2,0,,fixed,168,168
6812,0.0,107764,random2 200x200 (1258505823).bmp,merge,,,asm2,0,,random2,200,200
6813,0.14674845465465455,110524,random2 200x200 (1258505823).bmp,merge,,,asm2,0,,random2,200,200
6814,0.0,107026,random1 200x200 (1760243555).bmp,merge,,,asm2,0,,random1,200,200
6815,0.14674845465465455,106515,random1 200x200 (1760243555).bmp,merge,,,asm2,0,,random1,200,200
6816,0.0,182575,random2 200x200 (13999837).bmp,merge,,,asm2,0,,random2,200,200
6817,0.14674845465465455,108893,random2 200x200 (13999837).bmp,merge,,,asm2,0,,random2,200,200
6818,0.0,109284,random1 200x200 (950390868).bmp,merge,,,asm2,0,,random1,200,200
6819,0.14674845465465455,114019,random1 200x200 (950390868).bmp,merge,,,asm2,0,,random1,200,200
6820,0.0,8944,fixed 56x56 (1102520059).bmp,merge,,,asm2,0,,fixed,56,56
6821,0.14674845465465455,9219,fixed 56x56 (1102520059).bmp,merge,,,asm2,0,,fixed,56,56
6822,0.0,44046,fixed 128x128 (1801979802).bmp,merge,,,asm2,0,,fixed,128,128
6823,0.14674845465465455,42941,fixed 128x128 (1801979802).bmp,merge,,,asm2,0,,fixed,128,128
6824,0.0,108695,random1 200x200 (2112255763).bmp,merge,,,asm2,0,,random1,200,200
6825,0.14674845465465455,107248,random1 200x200 (2112255763).bmp,merge,,,asm2,0,,random1,200,200
6826,0.0,197011,fixed 236x236 (982906996).bmp,merge,,,asm2,0,,fixed,236,236
6827,0.14674845465465455,177852,fixed 236x236 (982906996).bmp,merge,,,asm2,0,,fixed,236,236
6828,0.0,106592,random2 200x200 (279861221).bmp,merge,,,asm2,0,,random2,200,200
6829,0.14674845465465455,106583,random2 200x200 (279861221).bmp,merge,,,asm2,0,,random2,200,200
6830,0.0,110578,random2 200x200 (211996288).bmp,merge,,,asm2,0,,random2,200,200
6831,0.14674845465465455,110484,random2 200x200 (211996288).bmp,merge,,,asm2,0,,random2,200,200
6832,0.0,5571,fixed 32x32 (1649760492).bmp,merge,,,asm2,0,,fixed,32,32
6833,0.14674845465465455,5220,fixed 32x32 (1649760492).bmp,merge,,,asm2,0,,fixed,32,32
6834,0.0,106781,random1 200x200 (498777856).bmp,merge,,,asm2,0,,random1,200,200
6835,0.14674845465465455,116424,random1 200x200 (498777856).bmp,merge,,,asm2,0,,random1,200,200
6836,0.0,3004,fixed 28x28 (719885386).bmp,merge,,,asm2,0,,fixed,28,28
6837,0.14674845465465455,3782,fixed 28x28 (719885386).bmp,merge,,,asm2,0,,fixed,28,28
6838,0.0,107001,random1 200x200 (760313750).bmp,merge,,,asm2,0,,random1,200,200
6839,0.14674845465465455,107077,random1 200x200 (760313750).bmp,merge,,,asm2,0,,random1,200,200
6840,0.0,129737,random1 200x200 (184803526).bmp,merge,,,asm2,0,,random1,200,200
6841,0.14674845465465455,106723,random1 200x200 (184803526).bmp,merge,,,asm2,0,,random1,200,200
6842,0.0,114706,random2 200x200 (369554448).bmp,merge,,,asm2,0,,random2,200,200
6843,0.14674845465465455,108650,random2 200x200 (369554448).bmp,merge,,,asm2,0,,random2,200,200
6844,0.0,136654,random2 200x200 (204557828).bmp,merge,,,asm2,0,,random2,200,200
6845,0.14674845465465455,106491,random2 200x200 (204557828).bmp,merge,,,asm2,0,,random2,200,200
6846,0.0,110200,random2 200x200 (468736315).bmp,merge,,,asm2,0,,random2,200,200
6847,0.14674845465465455,106922,random2 200x200 (468736315).bmp,merge,,,asm2,0,,random2,200,200
6848,0.0,115084,random1 200x200 (1876855542).bmp,merge,,,asm2,0,,random1,200,200
6849,0.14674845465465455,194294,random1 200x200 (1876855542).bmp,merge,,,asm2,0,,random1,200,200
6850,0.0,4485,fixed 36x36 (596516649).bmp,merge,,,asm2,0,,fixed,36,36
6851,0.14674845465465455,4222,fixed 36x36 (596516649).bmp,merge,,,asm2,0,,fixed,36,36
6852,0.0,8410,fixed 52x52 (783368690).bmp,merge,,,asm2,0,,fixed,52,52
6853,0.14674845465465455,8325,fixed 52x52 (783368690).bmp,merge,,,asm2,0,,fixed,52,52
6854,0.0,112029,random2 200x200 (2124251098).bmp,merge,,,asm2,0,,random2,200,200
6855,0.14674845465465455,106769,random2 200x200 (2124251098).bmp,merge,,,asm2,0,,random2,200,200
6856,0.0,106537,random2 200x200 (1904101559).bmp,merge,,,asm2,0,,random2,200,200
6857,0.14674845465465455,122249,random2 200x200 (1904101559).bmp,merge,,,asm2,0,,random2,200,200
6858,0.0,106690,random1 200x200 (1784639529).bmp,merge,,,asm2,0,,random1,200,200
6859,0.14674845465465455,106863,random1 200x200 (1784639529).bmp,merge,,,asm2,0,,random1,200,200
6860,0.0,106643,random2 200x200 (1940591161).bmp,merge,,,asm2,0,,random2,200,200
6861,0.14674845465465455,113365,random2 200x200 (1940591161).bmp,merge,,,asm2,0,,random2,200,200
6862,0.0,106937,random1 200x200 (1411154259).bmp,merge,,,asm2,0,,random1,200,200
6863,0.14674845465465455,114266,random1 200x200 (1411154259).bmp,merge,,,asm2,0,,random1,200,200
6864,0.0,107150,random2 200x200 (1054231799).bmp,merge,,,asm2,0,,random2,200,200
6865,0.14674845465465455,107907,random2 200x200 (1054231799).bmp,merge,,,asm2,0,,random2,200,200
6866,0.0,110737,random2 200x200 (696556207).bmp,merge,,,asm2,0,,random2,200,200
6867,0.14674845465465455,110158,random2 200x200 (696556207).bmp,merge,,,asm2,0,,random2,200,200
6868,0.0,609595,fixed 400x400 (1956297539).bmp,merge,,,asm2,0,,fixed,400,400
6869,0.14674845465465455,479000,fixed 400x400 (1956297539).bmp,merge,,,asm2,0,,fixed,400,400
6870,0.0,111686,random2 200x200 (923192533).bmp,merge,,,asm2,0,,random2,200,200
6871,0.14674845465465455,131361,random2 200x200 (923192533).bmp,merge,,,asm2,0,,random2,200,200
6872,0.0,603661,fixed 356x356 (752392754).bmp,merge,,,asm2,0,,fixed,356,356
6873,0.14674845465465455,429169,fixed 356x356 (752392754).bmp,merge,,,asm2,0,,fixed,356,356
6874,0.0,110933,random1 200x200 (1967681095).bmp,merge,,,asm2,0,,random1,200,200
6875,0.14674845465465455,112688,random1 200x200 (1967681095).bmp,merge,,,asm2,0,,random1,200,200
6876,0.0,118045,random1 200x200 (1884167637).bmp,merge,,,asm2,0,,random1,200,200
6877,0.14674845465465455,106717,random1 200x200 (1884167637).bmp,merge,,,asm2,0,,random1,200,200
6878,0.0,115130,random1 200x200 (1626276121).bmp,merge,,,asm2,0,,random1,200,200
6879,0.14674845465465455,111763,random1 200x200 (1626276121).bmp,merge,,,asm2,0,,random1,200,200
6880,0.0,73290,fixed 156x156 (628175011).bmp,merge,,,asm2,0,,fixed,156,156
6881,0.14674845465465455,63467,fixed 156x156 (628175011).bmp,merge,,,asm2,0,,fixed,156,156
6882,0.0,103127,random2 200x200 (880121610).bmp,merge,,,asm2,0,,random2,200,200
6883,0.14674845465465455,108542,random2 200x200 (880121610).bmp,merge,,,asm2,0,,random2,200,200
6884,0.0,250148,fixed 288x288 (84353895).bmp,merge,,,asm2,0,,fixed,288,288
6885,0.14674845465465455,676396,fixed 288x288 (84353895).bmp,merge,,,asm2,0,,fixed,288,288
6886,0.0,1053,fixed 12x12 (1681692777).bmp,merge,,,asm2,0,,fixed,12,12
6887,0.14674845465465455,1184,fixed 12x12 (1681692777).bmp,merge,,,asm2,0,,fixed,12,12
6888,0.0,114934,random2 200x200 (663282821).bmp,merge,,,asm2,0,,random2,200,200
6889,0.14674845465465455,107398,random2 200x200 (663282821).bmp,merge,,,asm2,0,,random2,200,200
6890,0.0,262514,fixed 312x312 (1585990364).bmp,merge,,,asm2,0,,fixed,312,312
6891,0.14674845465465455,276999,fixed 312x312 (1585990364).bmp,merge,,,asm2,0,,fixed,312,312
6892,0.0,143553,fixed 228x228 (137806862).bmp,merge,,,asm2,0,,fixed,228,228
6893,0.14674845465465455,139344,fixed 228x228 (137806862).bmp,merge,,,asm2,0,,fixed,228,228
6894,0.0,113112,random1 200x200 (1472713773).bmp,merge,,,asm2,0,,random1,200,200
6895,0.14674845465465455,111497,random1 200x200 (1472713773).bmp,merge,,,asm2,0,,random1,200,200
6896,0.0,106601,random2 200x200 (159286226).bmp,merge,,,asm2,0,,random2,200,200
6897,0.14674845465465455,15435009,random2 200x200 (159286226).bmp,merge,,,asm2,0,,random2,200,200
6898,0.0,106827,random1 200x200 (1967513926).bmp,merge,,,asm2,0,,random1,200,200
6899,0.14674845465465455,112187,random1 200x200 (1967513926).bmp,merge,,,asm2,0,,random1,200,200
6900,0.0,286670,fixed 324x324 (1477171087).bmp,merge,,,asm2,0,,fixed,324,324
6901,0.14674845465465455,370284,fixed 324x324 (1477171087).bmp,merge,,,asm2,0,,fixed,324,324
6902,0.0,209102,fixed 280x280 (1433925857).bmp,merge,,,asm2,0,,fixed,280,280
6903,0.14674845465465455,263894,fixed 280x280 (1433925857).bmp,merge,,,asm2,0,,fixed,280,280
6904,0.0,114718,random2 200x200 (532333135).bmp,merge,,,asm2,0,,random2,200,200
6905,0.14674845465465455,110008,random2 200x200 (532333135).bmp,merge,,,asm2,0,,random2,200,200
6906,0.0,106174,random2 200x200 (1991128557).bmp,merge,,,asm2,0,,random2,200,200
6907,0.14674845465465455,112868,random2 200x200 (1991128557).bmp,merge,,,asm2,0,,random2,200,200
6908,0.0,80669,fixed 176x176 (1914544919).bmp,merge,,,asm2,0,,fixed,176,176
6909,0.14674845465465455,83917,fixed 176x176 (1914544919).bmp,merge,,,asm2,0,,fixed,176,176
6910,0.0,12198,fixed 68x68 (1365180540).bmp,merge,,,asm2,0,,fixed,68,68
6911,0.14674845465465455,13450,fixed 68x68 (1365180540).bmp,merge,,,asm2,0,,fixed,68,68
6912,0.0,107828,random1 200x200 (1726956429).bmp,merge,,,asm2,0,,random1,200,200
6913,0.14674845465465455,107184,random1 200x200 (1726956429).bmp,merge,,,asm2,0,,random1,200,200
6914,0.0,388175,fixed 380x380 (943947739).bmp,merge,,,asm2,0,,fixed,380,380
6915,0.14674845465465455,396915,fixed 380x380 (943947739).bmp,merge,,,asm2,0,,fixed,380,380
6916,0.0,107560,random1 200x200 (2086206725).bmp,merge,,,asm2,0,,random1,200,200
6917,0.14674845465465455,103409,random1 200x200 (2086206725).bmp,merge,,,asm2,0,,random1,200,200
6918,0.0,109605,random1 200x200 (1984210012).bmp,merge,,,asm2,0,,random1,200,200
6919,0.14674845465465455,106803,random1 200x200 (1984210012).bmp,merge,,,asm2,0,,random1,200,200
6920,0.0,108817,random2 200x200 (1960721183).bmp,merge,,,asm2,0,,random2,200,200
6921,0.14674845465465455,111632,random2 200x200 (1960721183).bmp,merge,,,asm2,0,,random2,200,200
6922,0.0,107056,random1 200x200 (1371499336).bmp,merge,,,asm2,0,,random1,200,200
6923,0.14674845465465455,107086,random1 200x200 (1371499336).bmp,merge,,,asm2,0,,random1,200,200
6924,0.0,28524,fixed 104x104 (861021530).bmp,merge,,,asm2,0,,fixed,104,104
6925,0.14674845465465455,27861,fixed 104x104 (861021530).bmp,merge,,,asm2,0,,fixed,104,104
6926,0.0,8959,fixed 48x48 (1350490027).bmp,merge,,,asm2,0,,fixed,48,48
6927,0.14674845465465455,6725,fixed 48x48 (1350490027).bmp,merge,,,asm2,0,,fixed,48,48
6928,0.0,115585,random1 200x200 (1303455736).bmp,merge,,,asm2,0,,random1,200,200
6929,0.14674845465465455,107727,random1 200x200 (1303455736).bmp,merge,,,asm2,0,,random1,200,200
6930,0.0,106717,random2 200x200 (438714404).bmp,merge,,,asm2,0,,random2,200,200
6931,0.14674845465465455,111696,random2 200x200 (438714404).bmp,merge,,,asm2,0,,random2,200,200
6932,0.0,108213,random2 200x200 (1337225634).bmp,merge,,,asm2,0,,random2,200,200
6933,0.14674845465465455,111390,random2 200x200 (1337225634).bmp,merge,,,asm2,0,,random2,200,200
6934,0.0,154640,fixed 232x232 (42999170).bmp,merge,,,asm2,0,,fixed,232,232
6935,0.14674845465465455,213190,fixed 232x232 (42999170).bmp,merge,,,asm2,0,,fixed,232,232
6936,0.0,111598,random1 200x200 (233665123).bmp,merge,,,asm2,0,,random1,200,200
6937,0.14674845465465455,104010,random1 200x200 (233665123).bmp,merge,,,asm2,0,,random1,200,200
6938,0.0,106696,random1 200x200 (502278611).bmp,merge,,,asm2,0,,random1,200,200
6939,0.14674845465465455,114745,random1 200x200 (502278611).bmp,merge,,,asm2,0,,random1,200,200
6940,0.0,292662,fixed 304x304 (1548233367).bmp,merge,,,asm2,0,,fixed,304,304
6941,0.14674845465465455,247180,fixed 304x304 (1548233367).bmp,merge,,,asm2,0,,fixed,304,304
6942,0.0,58214,fixed 144x144 (1125898167).bmp,merge,,,asm2,0,,fixed,144,144
6943,0.14674845465465455,56975,fixed 144x144 (1125898167).bmp,merge,,,asm2,0,,fixed,144,144
6944,0.0,103427,random2 200x200 (582362178).bmp,merge,,,asm2,0,,random2,200,200
6945,0.14674845465465455,106753,random2 200x200 (582362178).bmp,merge,,,asm2,0,,random2,200,200
6946,0.0,247556,fixed 300x300 (1998898814).bmp,merge,,,asm2,0,,fixed,300,300
6947,0.14674845465465455,299716,fixed 300x300 (1998898814).bmp,merge,,,asm2,0,,fixed,300,300
6948,0.0,107059,random2 200x200 (105197541).bmp,merge,,,asm2,0,,random2,200,200
6949,0.14674845465465455,106787,random2 200x200 (105197541).bmp,merge,,,asm2,0,,random2,200,200
6950,0.0,109901,random2 200x200 (2116845032).bmp,merge,,,asm2,0,,random2,200,200
6951,0.14674845465465455,106830,random2 200x200 (2116845032).bmp,merge,,,asm2,0,,random2,200,200
6952,0.0,240736,fixed 292x292 (939819582).bmp,merge,,,asm2,0,,fixed,292,292
6953,0.14674845465465455,226896,fixed 292x292 (939819582).bmp,merge,,,asm2,0,,fixed,292,292
6954,0.0,681,fixed 4x4 (1804289383).bmp,merge,,,asm2,0,,fixed,4,4
6955,0.14674845465465455,4066,fixed 4x4 (1804289383).bmp,merge,,,asm2,0,,fixed,4,4
6956,0.0,112725,random1 200x200 (1947346619).bmp,merge,,,asm2,0,,random1,200,200
6957,0.14674845465465455,107474,random1 200x200 (1947346619).bmp,merge,,,asm2,0,,random1,200,200
6958,0.0,106387,random1 200x200 (1057467587).bmp,merge,,,asm2,0,,random1,200,200
6959,0.14674845465465455,107346,random1 200x200 (1057467587).bmp,merge,,,asm2,0,,random1,200,200
6960,0.0,103152,fixed 192x192 (1973594324).bmp,merge,,,asm2,0,,fixed,192,192
6961,0.14674845465465455,117160,fixed 192x192 (1973594324).bmp,merge,,,asm2,0,,fixed,192,192
6962,0.0,731643,fixed 376x376 (1843993368).bmp,merge,,,asm2,0,,fixed,376,376
6963,0.14674845465465455,390199,fixed 376x376 (1843993368).bmp,merge,,,asm2,0,,fixed,376,376
6964,0.0,366957,fixed 372x372 (1411549676).bmp,merge,,,asm2,0,,fixed,372,372
6965,0.14674845465465455,368113,fixed 372x372 (1411549676).bmp,merge,,,asm2,0,,fixed,372,372
6966,0.0,107147,random1 200x200 (446340713).bmp,merge,,,asm2,0,,random1,200,200
6967,0.14674845465465455,106375,random1 200x200 (446340713).bmp,merge,,,asm2,0,,random1,200,200
6968,0.0,37004,fixed 112x112 (233665123).bmp,merge,,,asm2,0,,fixed,112,112
6969,0.14674845465465455,35716,fixed 112x112 (233665123).bmp,merge,,,asm2,0,,fixed,112,112
6970,0.0,113286,random1 200x200 (1973387981).bmp,merge,,,asm2,0,,random1,200,200
6971,0.14674845465465455,131501,random1 200x200 (1973387981).bmp,merge,,,asm2,0,,random1,200,200
6972,0.0,103610,fixed 196x196 (149798315).bmp,merge,,,asm2,0,,fixed,196,196
6973,0.14674845465465455,103026,fixed 196x196 (149798315).bmp,merge,,,asm2,0,,fixed,196,196
6974,0.0,531143,fixed 344x344 (709393584).bmp,merge,,,asm2,0,,fixed,344,344
6975,0.14674845465465455,424920,fixed 344x344 (709393584).bmp,merge,,,asm2,0,,fixed,344,344
6976,0.0,106537,random1 200x200 (1827336327).bmp,merge,,,asm2,0,,random1,200,200
6977,0.14674845465465455,106668,random1 200x200 (1827336327).bmp,merge,,,asm2,0,,random1,200,200
6978,0.0,107529,random1 200x200 (1656478042).bmp,merge,,,asm2,0,,random1,200,200
6979,0.14674845465465455,106461,random1 200x200 (1656478042).bmp,merge,,,asm2,0,,random1,200,200
6980,0.0,319534,fixed 332x332 (945117276).bmp,merge,,,asm2,0,,fixed,332,332
6981,0.14674845465465455,398741,fixed 332x332 (945117276).bmp,merge,,,asm2,0,,fixed,332,332
6982,0.0,460086,fixed 396x396 (1469348094).bmp,merge,,,asm2,0,,fixed,396,396
6983,0.14674845465465455,999581,fixed 396x396 (1469348094).bmp,merge,,,asm2,0,,fixed,396,396
6984,0.0,145439,random2 200x200 (392228696).bmp,merge,,,asm2,0,,random2,200,200
6985,0.14674845465465455,115463,random2 200x200 (392228696).bmp,merge,,,asm2,0,,random2,200,200
6986,0.0,5727,fixed 40x40 (1189641421).bmp,merge,,,asm2,0,,fixed,40,40
6987,0.14674845465465455,5846,fixed 40x40 (1189641421).bmp,merge,,,asm2,0,,fixed,40,40
6988,0.0,112959,random1 200x200 (968338082).bmp,merge,,,asm2,0,,random1,200,200
6989,0.14674845465465455,122148,random1 200x200 (968338082).bmp,merge,,,asm2,0,,random1,200,200
6990,0.0,66132,fixed 160x160 (1656478042).bmp,merge,,,asm2,0,,fixed,160,160
6991,0.14674845465465455,66221,fixed 160x160 (1656478042).bmp,merge,,,asm2,0,,fixed,160,160
6992,0.0,107462,random1 200x200 (588219756).bmp,merge,,,asm2,0,,random1,200,200
6993,0.14674845465465455,109339,random1 200x200 (588219756).bmp,merge,,,asm2,0,,random1,200,200
6994,0.0,112633,random1 200x200 (680466996).bmp,merge,,,asm2,0,,random1,200,200
6995,0.14674845465465455,107935,random1 200x200 (680466996).bmp,merge,,,asm2,0,,random1,200,200
6996,0.0,117050,random1 200x200 (1572276965).bmp,merge,,,asm2,0,,random1,200,200
6997,0.14674845465465455,106647,random1 200x200 (1572276965).bmp,merge,,,asm2,0,,random1,200,200
6998,0.0,424477,fixed 360x360 (1474612399).bmp,merge,,,asm2,0,,fixed,360,360
6999,0.14674845465465455,528523,fixed 360x360 (1474612399).bmp,merge,,,asm2,0,,fixed,360,360
7000,0.0,106458,random1 200x200 (1918502651).bmp,merge,,,asm2,0,,random1,200,200
7001,0.14674845465465455,104260,random1 200x200 (1918502651).bmp,merge,,,asm2,0,,random1,200,200
7002,0.0,106564,random2 200x200 (223729824).bmp,merge,,,asm2,0,,random2,200,200
7003,0.14674845465465455,106494,random2 200x200 (223729824).bmp,merge,,,asm2,0,,random2,200,200
7004,0.0,355457,fixed 336x336 (1889947178).bmp,merge,,,asm2,0,,fixed,336,336
7005,0.14674845465465455,681988,fixed 336x336 (1889947178).bmp,merge,,,asm2,0,,fixed,336,336
